w149,z087
-0.0071388735,-0.001149757
-0.0071181096,0.00016635306
-0.019957736,-0.0024587328
-0.019253943,0.0020815902
-0.002879111,0.0015059807
-0.0049592988,-0.0014253702
-0.020689243,0.0006968221
-0.025374018,0.0016183183
-0.0014519928,0.0014433118
-0.0035946511,-0.0016403226
0.009864595,-0.002800362
-0.010969459,0.0014404784
-0.008370056,0.0014001813
-0.00096806855,0.00029544684
0.0010799512,0.00077424257
-0.009524989,0.005715427
-0.009454994,-0.0014008983
-0.018701093,0.0033369388
0.0034618718,-0.0002784058
0.0019842829,-0.00287084
0.0047514713,0.00071557367
-0.01513238,0.0059064743
-0.008292571,-0.00010732564
-0.007936297,7.173756e-05
-0.007580023,0.00025080077
-0.0072237486,0.00042986395
-0.0068674744,0.00060892716
-0.0065112,0.00078799034
-0.006154926,0.0009670536
-0.005798652,0.0011461168
-0.0054423776,0.0013251799
-0.0050861035,0.0015042431
-0.0047298293,0.0016833064
-0.004373555,0.0018623696
-0.004017281,0.0020414328
-0.003661007,0.002220496
-0.0033047327,0.0023995591
-0.0029484585,0.0025786224
-0.0025921843,0.0027576855
-0.0022359102,0.0029367488
-0.001879636,0.003115812
-0.0015233618,0.0032948751
-0.0011670877,0.0034739384
-0.00081081345,0.0036530015
-0.0004545393,0.0038320648
-9.826513e-05,0.004011128
0.00025800904,0.004190191
0.0006142832,0.004369254
0.0009705574,0.0045483178
0.0013268315,0.004727381
0.0016831057,0.004906444
0.00203938,0.0050855074
0.002395654,0.0052645705
0.0027519283,0.0054436335
-0.012229736,0.0015358353
-0.007149853,0.0013340357
-0.0044687246,-0.0022243499
-0.01139885,-0.00200612
-0.014193194,-0.003256868
-0.00581077,0.0009727182
0.0010352436,6.6559423e-06
0.06775334,0.001434973
0.06755331,0.00286329
0.067353286,0.004291607
0.06715326,0.005719924
0.066953234,0.007148241
0.06675321,0.008576558
0.06655318,0.010004875
0.052451283,0.0114331925
0.034872487,0.012861509
0.029070443,0.014289826
0.011171777,0.014879265
-0.0031878653,0.005430142
-0.0060215746,-0.00032611314
-0.0053091696,0.001033132
-0.005600704,-0.0034984117
0.0063558803,-0.0034735932
0.0059161405,-0.0034487743
0.005476401,-0.0034239558
0.0050366614,-0.003399137
0.004596922,-0.0033743184
0.0041571823,-0.0033494995
0.0037174427,-0.003324681
0.0032777032,-0.0032998621
0.0028379636,-0.0032750436
0.002398224,-0.0032502247
0.0019584845,-0.0032254062
0.0015187451,-0.0032005874
0.0010790055,-0.0031757688
0.0006392659,-0.00315095
0.0001995264,-0.0031261314
-0.00024021315,-0.0031013126
-0.0006799527,-0.003076494
-0.0011196922,-0.0030516752
-0.0015594318,-0.0030268566
-0.0019991715,-0.0030020378
-0.0024389108,-0.0029772192
-0.0028786503,-0.0029524004
-0.0033183899,-0.0029275818
-0.0037581294,-0.002902763
-0.004197869,-0.0028779444
-0.004637609,-0.0028531256
-0.005077348,-0.002828307
-0.005517088,-0.0028034882
-0.005956827,-0.0027786696
-0.006396567,-0.0027538508
-0.0068363063,-0.0027290322
-0.007276046,-0.0027042134
-0.0077157854,-0.0026793948
-0.014605185,-0.002654576
-0.0011630951,-0.0021909184
-0.009353493,-0.00015287087
-0.009407693,-0.000617525
-0.014205221,-0.00085078477
0.0029908968,0.0017982915
-0.008073884,-6.664419e-05
-0.0021182667,0.002301843
-0.00093125104,0.0005866613
-0.014875971,0.0003730896
0.0076059867,0.0070120525
-0.0046459786,0.0021839456
-0.008624651,0.0014730364
-0.020271694,-0.001928432
