w149,z087
-0.0050034313,0.0019017649
-0.009845153,-0.001264305
0.014261835,-0.0007031666
-0.008905424,-0.00043609925
0.0007363723,-0.0015305114
-0.009665137,-0.0020393338
0.020392057,-0.0013460073
2.9554005e-05,0.0032644721
-0.002906026,0.0008934443
0.014792577,0.0034353873
0.006941963,4.309061e-05
9.6669195e-05,-4.3790864e-05
-0.0040289913,-0.0016996145
0.015935354,-0.0019753294
0.00852244,0.0027973116
0.018212354,0.0025681485
0.0027291947,0.0029976645
0.028316896,-0.0012156812
0.012949904,0.0013421674
0.019725412,0.0010104656
0.016070986,0.0026173885
-0.002758429,-0.0039227107
-0.0069456995,-0.0013189295
-0.0076203234,-0.0013240791
-0.008294947,-0.0013292286
-0.008969571,-0.0013343783
-0.009644195,-0.0013395279
-0.010318819,-0.0013446775
-0.010993443,-0.0013498272
-0.0116680665,-0.0013549767
-0.0123426905,-0.0013601263
-0.0130173145,-0.0013652759
-0.0136919385,-0.0013704256
-0.0143665625,-0.0013755752
-0.0150411865,-0.0013807247
-0.01571581,-0.0013858743
-0.016390434,-0.001391024
-0.017065058,-0.0013961736
-0.017739682,-0.0014013232
-0.018414306,-0.0014064729
-0.01908893,-0.0014116224
-0.019763554,-0.001416772
-0.020438178,-0.0014219217
-0.021112802,-0.0014270713
-0.021787426,-0.0014322209
-0.02246205,-0.0014373704
-0.023136673,-0.0014425201
-0.023811297,-0.0014476697
-0.024485921,-0.0014528193
-0.025160545,-0.001457969
-0.02583517,-0.0014631185
-0.026509793,-0.0014682681
-0.027184417,-0.0014734177
-0.02785904,-0.0014785674
-0.032327786,0.003705678
0.013429018,-0.0016350292
-0.008872541,0.0015111878
0.006365097,-0.003646589
0.007873111,-0.003561329
0.034187697,-0.0041819518
0.012115144,-0.00042942137
0.0059076264,-0.00102212
0.034964986,0.0033132085
-0.0003102725,0.00066701043
0.012093353,-0.0036089302
0.00798073,-0.0006699721
-0.0014784699,0.0031646427
0.017493596,0.003547747
0.015601191,0.00068681536
0.009323776,0.0025195929
0.009032584,0.0025684435
-0.0002696246,7.92094e-05
0.017143661,0.0039408323
-0.0003717711,0.0022209
0.010899169,-0.0005587566
0.0064577363,0.0029140848
-0.00691473,0.0028314064
-0.0074048876,0.0027487283
-0.007895045,0.00266605
-0.008385203,0.002583372
-0.00887536,0.0025006935
-0.009365518,0.0024180154
-0.009855675,0.0023353372
-0.010345832,0.002252659
-0.010835989,0.002169981
-0.011326147,0.0020873025
-0.011816304,0.0020046243
-0.012306462,0.0019219462
-0.01279662,0.0018392679
-0.013286777,0.0017565897
-0.013776935,0.0016739115
-0.014267092,0.0015912333
-0.0147572495,0.001508555
