w149,z087
-0.003704026,-0.00041871044
0.0011863024,-0.0011813674
-0.00073260977,-0.00086865126
-0.002048004,-0.0007825919
-0.0032798646,-0.0011021224
-0.0019989614,-0.00058762403
-0.0030175413,0.00022459835
-0.0010531867,-0.00071724044
-0.0014133301,-0.0014448612
-0.0003760305,-0.0008400807
-0.00073345617,-0.00083268934
0.000910942,-0.0008018312
-0.0016794499,-0.00093935657
-0.0022597243,-0.00055637787
-0.0037060054,-0.00083893735
-0.004741663,-0.00025416815
0.0008872284,-0.0008532109
-0.0023624036,-0.00057332695
-0.0005063317,-0.0007169361
-0.0029732708,-0.00031886465
-0.0011867152,-0.00046334454
-0.0008720385,-0.00069501606
0.0030505362,-0.0013690228
0.0039931173,-0.0012328104
0.0049356986,-0.0010965982
0.00587828,-0.00096038607
0.0068208613,-0.0008241738
0.0077634426,-0.0006879616
0.008706024,-0.00055174937
0.009648605,-0.00041553716
0.010591187,-0.00027932492
0.011533767,-0.0001431127
0.012476348,-6.9004827e-06
0.01341893,0.00012931174
0.014361511,0.00026552397
0.015304092,0.00040173618
0.016246675,0.0005379484
0.017189255,0.0006741606
0.018131835,0.0008103729
0.019074418,0.0009465851
0.020016998,0.0010827973
0.02095958,0.0012190095
0.02190216,0.0013552217
0.022844743,0.0014914339
0.023787323,0.0016276462
0.024729906,0.0017638584
0.025672486,0.0019000706
0.026615068,0.0020362828
0.027557649,0.002172495
0.028500231,0.0023087072
0.029442811,0.0024449194
0.030385392,0.0025811316
0.031327974,0.0027173439
0.032270554,0.0028535563
0.034857128,0.0029897685
0.03679593,0.0031259807
0.036881767,0.003262193
0.03696761,0.0033984052
0.03705345,0.0035346174
0.037139293,0.0036708296
0.03722513,0.0038070418
0.037310973,0.003943254
0.037396815,0.004079466
0.037482653,0.004215678
0.037568495,0.0043518906
0.037654337,0.0044881026
0.03774018,0.004624315
0.037826017,0.0047605275
0.03791186,0.0048967395
0.0379977,0.005032952
0.038061604,0.005169164
0.030142374,0.0053053764
0.02504629,0.0054415883
0.02058864,0.0038580364
0.009688634,0.0039009026
0.014375052,0.0029101272
0.0055638654,0.0028387455
0.0053954152,0.0027673638
0.0052269655,0.002695982
0.0050585154,0.0026246004
0.0048900656,0.0025532187
0.0047216155,0.002481837
0.0045531653,0.0024104554
0.0043847156,0.0023390737
0.0042162654,0.0022676922
0.0040478157,0.0021963106
0.0038793655,0.0021249289
0.0037109156,0.0020535472
0.0035424656,0.0019821655
0.0033740154,0.0019107838
0.0032055655,0.0018394021
0.0030371156,0.0017680204
0.0028686656,0.0016966388
0.0027002157,0.0016252571
0.0025317657,0.0015538754
0.0023633156,0.0014824937
0.0021948656,0.001411112
0.0020264157,0.0013397303
0.0018579656,0.0012683488
0.0016895157,0.0011969671
0.0015210657,0.0011255854
0.0013526157,0.0010542037
0.0011841657,0.000982822
0.0010157158,0.00091144035
0.0008472657,0.00084005867
0.0006788157,0.00076867704
0.00051036576,0.00069729536
0.00034191576,0.0006259137
0.00017346576,0.000554532
-0.0018781758,0.00048315033
0.0011164051,-0.0010063967
-0.0019846112,0.00034854832
-0.004443347,-0.00042908997
-0.0045576505,-0.000605548
0.0022569008,7.714384e-05
-0.0024013077,-0.0009653104
-0.0033281194,-1.18640455e-05
4.7102472e-05,-0.00058765546
0.00095488166,-0.0022019197
0.0029958016,-0.00088578725
-0.0012354996,7.647895e-05
0.0011035852,-0.00050656655
-0.0028624332,-0.0011508821
0.0031724374,-2.0049112e-05
-0.0017958556,0.00041700882
-0.013992665,-0.0009848716
0.0020012236,-0.0013412094
0.00013024417,-0.0013425489
-0.0018662523,-0.00030906743
-0.002390297,-0.0007715448
0.004701139,-0.0008013903
-0.0016374703,0.00021592509
-0.0016619156,0.00021276217
-0.0016863608,0.00020959925
-0.0017108059,0.00020643634
-0.0017352512,0.00020327342
-0.0017596964,0.00020011052
-0.0017841415,0.0001969476
-0.0018085868,0.00019378468
-0.001833032,0.00019062177
-0.0018574771,0.00018745885
-0.0018819224,0.00018429595
-0.0019063676,0.00018113303
-0.0019308127,0.00017797011
-0.001955258,0.0001748072
-0.001979703,0.00017164428
-0.0020041484,0.00016848136
-0.0020285936,0.00016531846
-0.0020530387,0.00016215554
-0.002077484,0.00015899263
